ID,Municipio,Número,Links,Descripción resumida,año,fecha,coord_x,coord_y,,,,,,
11,Cañada Morelos,10/23,"(8) 30 de septiembre 2023. Alrededor de las 19:30 horas, pobladores de San Antonio dieron cuenta del hallazgo de varios cuerpos. En menos de 3 días, la comunidad de San Antonio Soledad en el municipio de Cañada Morelos, ha vivido momentos de terror por el hallazgo de siete cadáveres, 3 varones de 20 a 25 años de edad, con disparos en la cabeza el jueves28 de septiembre y otros cuatro la tarde-noche del sábado 30. De acuerdo con a las autoridades policiales se trataría de un ajuste de cuentas entre bandas rivales, incluso provenientes del vecino estado de Veracruz. En el lugar además había regados múltiples casquillos permitidos calibre .223, presumiendo que los homicidas emplearon armas de alto poder.
___________________
(Agrego links faltantes:)
https://oem.com.mx/elsoldepuebla/policiaca/en-canada-morelos-descubren-cuatro-cuerpos-sin-vida-los-habrian-traido-de-veracruz-19218590 
https://es-us.noticias.yahoo.com/encuentran-cuerpos-abandonados-camioneta-puebla-175523875.html?guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAAzuLtc4ojPPHycgy8a0EKMqTrKB_gTQCR568d3oB15uTUxTFltCalgLQb7sDC_xYScwMlfXTd1H__Ez1iaG1hWxdhvGmaUJwESnhoen6AqQuD00dHd2-sSDJXbitzysGysMltUdbzi0F4Yn22QmYxpG4oPOzHUhn2LjDqQkVa9b ","El jueves 28 de septiembre se hallaron los cuerpos de tres varones de entre 20 y 25 años de edad con disparos en la cabeza. 
La tarde-noche del sábado 30 de septiembre otros cuatro cuerpos fueron hallados en la misma comunidad, San Antonio Soledad. 
Autoridades policiales establecen que se trataría de un ajuste de cuentas entre bandas rivales, pues en el lugar había múltiples casquillos calibre .223, pertenecientes a armas de alto poder. ",2023,30/10/2023,-97.4107,18.787215,,,,,,
12,Amozoc,12/18,"(9) Martes 4 de diciembre 2018. Fueron hallados los cadáveres de cinco hombres en el kilómetro 224 de la autopista Puebla – Orizaba, con dirección al estado de Veracruz. De acuerdo con los primeros reportes los muertos serían el resultado de un enfrentamiento con armas de fuego de alto poder, ocurrido en el sitio durante las primeras horas de este martes.
 
 Tras el presunto enfrentamiento, autoridades locales y federales confirmaron el hallazgo de cinco cadáveres con varios disparos y con un mensaje de un grupo de la delincuencia organizada. Además de los cuerpos que terminaron tendidos en plena carretera, también fueron halladas armas de alto impacto y la camioneta baleada en la que se trasladaban las víctimas mortales que se presume fueron emboscadas. También cartulinas con narcomensajes sobre sus cuerpos, donde se apreciaban mensajes firmados con las siglas CJNG con la leyenda “Esto le pasa a toda la escoria “Z” llegó la limpia de mugrosos, secuestradores, chapulines, roba ganados” CJNG.
 
 En el sitio también fue hallada una camioneta Nissan negra, de doble cabina y con matrícula de circulación NW97869, la cual presentaba diversos impactos de armas de fuego y daños por choque, además a unos kilómetros se encontró un tractocamión que presuntamente habría sido asaltado.
 
 https://oem.com.mx/elsoldepuebla/local/ejecutan-a-cinco-en-la-autopista-puebla-orizaba-cjng-cartel-jalisco-nueva-generacion-emboscada-cadaver-muertos-veracruz-esperanza-13476207 
 
 https://newsweekespanol.com/2018/12/04/enfrentamiento-criminales-muertos-esperanza/
 
 https://www.e-consulta.com/nota/2018-12-04/seguridad/masacran-7-presuntos-ladrones-en-la-autopista-puebla-veracruz","En el kilómetro 224 de la autopista Puebla-Orizaba con dirección al estado de Veracruz fueron hallados cinco cadáveres con varios disparon y con un mensaje de un grupo de la delincuencia organizada, que según los primeros reportes, son el resultado de un enfrentamiento con armas de fuego de alto poder. En el lugar también se encontró la camioneta baleada en la que trasladaban las víctimas que se presume fueron emboscadas, además de cartulinas con narcomensajes sobre sus cuerpos firmados con las siglas CJNG.
",2018,04/12/2018,-97.631896,18.909917,,,,,,
13,Tecamachalco,11/21,"(10) 19 de noviembre 2021. Tres agentes de la Fiscalía General del Estado (FGE) fueron asesinados en el municipio de Tecamachalco, Puebla, presuntamente cuando acudieron a atender un reporte de robo la noche del viernes. Según las primeras investigaciones los homicidas fueron policías municipales que al parecer dan protección a la banda que cometió el hurto. Por lo anterior la institución detuvo al secretario municipal de Seguridad Pública, Alejandro Santizo Méndez, su escolta, y 12 policías municipales, por su presunta responsabilidad en el asesinato. El presidente municipal es Ignacio Mier Bañuelos (hijo de Ignacio Mier Velasco, coordinador parlamentario de Morena en la Cámara de Diputados. https://www.jornada.com.mx/notas/2021/11/21/estados/policias-municipales-asesinan-a-tres-agentes-de-la-fiscalia-de-puebla/","Tras atender un reporte de robo, tres agentes de la FIscalía General de Estado fueron asesinados. Según primeras investigaciones, los homicidas fueron policías municipales que al parecer dan protección a la banda que cometió el hurto. Quedaron detenidos Alejandro Santizo Méndez, secretario municipal de Seguridad Pública, su escolta y 12 policías municipales. ",2021,19/11/2021,-97.728907,18.882852,,,,,,
14,Acajete - Amozoc,1/24,"(11) Sábado 18 de enero 2024. Sicarios de falso retén disparan contra 4 jóvenes que circulaban en motocicleta entre Amozc y Acajete. Una de las jóvenes murió poco después de recibir disparos. Otros dos fueron encontrados sin vida y con signos de violencia al día siguiente en las inmediaciones del camino a Santa Cecilia en la comunidad de Santa Cruz Ajajalpan, Tecali de Herrera. Los tres jóvenes se trasladaban en motocicletas cuando se encontraron con un falso retén, según reportan medios locales, que les impidió el paso y que pretendía arrebatarles las motocicletas. La joven de 19 años murió en el lugar, mientras que los adolescentes de 14 y 17 años fueron hallados a un kilómetro de distancia https://retodiario.com/policia/2024/01/18/confirma-fiscalia-que-los-jovenes-asesinados-en-acajete-si-fueron-interceptados-por-un-reten-falso/ https://www.youtube.com/watch?v=5wRWvWUdkcs","Sicarios de falso retén dispararon contra 4 jóvenes en moto. La jóven de 19 años murió en el lugar tras recibir los disparos, miestras que los adolescentes de 14 a 17 años fueron hallados a un kilómetro de distancia con signos de violencia en el camino a Santa Cecilia en la comunidad de Santa Cruz Ajalapan, Tecali de Herrera.",2024,18/01/2024,-97.998851,19.069552,,,,,,
15,Cañada Morelos ,2/24,"(12) 14 de febrero 2024. Los cuerpos desmembrados de una mujer y dos hombres fueron encontrados el miércoles 14 de febrero de 2024 en bolsas de plástico sobre el tramo carretero Azumbilla-Esperanza, como parte de una disputa entre dos grupos rivales del crimen organizado. Las víctimas fueron identificadas como Sandra N., conocida como “La Sandy” o “La Güera”, de 15 años de edad, de ocupación ama de casa; Cristian N, alias “El Habichuelo”, de 26 años, quien se dedicaba a conducir un tráiler; y Jorge Gael N, de 18 años, alias “El Chino” o “Chino”, quien era chofer. Versiones del municipio de Cañada Morelos, de donde las tres personas eran originarias, refieren que los jóvenes viajaban en un vehículo Mustang cuando fueron privados de la libertad mientras circulaban en calles de este municipio.

Los mismos rumores refieren que con el grupo viajaba una cuarta mujer la cual no han sido localizada y se teme que también habría sido privada de la vida.

Apenas el jueves, el fiscal General del Estado, Gilberto Higuera Bernal, confirmó que la privación de la libertad de los jóvenes y su posterior ejecución, fue resultado de una disputa entre grupos rivales, y que la razón por la que los habrían matado es debido a que sus contrarios les atribuyeron otro homicidio. https://www.lajornadadeoriente.com.mx/puebla/eran-originarias-de-canada-morelos-las-tres-personas-desmembradas-y-abandonadas-en-el-tramo-azumbilla-esperanza/","Tres cuerpos desmembrados, una mujer y dos hombres, fueron encontrados en bolsas de plástico sobre el tramo carretero Azumbilla-Esperanza. Las víctimas se identificaron como Sandra N, conocida como ""La Sandy"", de 15 años; Cristian N, ""El Habichuelo"", de 26 años; y Jorge Gael N, ""El Chino"", de 18 años. El fiscal General del Estado, Gilberto Higuera Bernal, confirmó que los hechos fueron resultado de una disputa entre grupos rivales, y que la razón de su asesinato es debido a que sus contrarios les atrubuyeron otro homicidio. ",2024,14/02/2024,-97.401488,18.677422,,,,,,
16,Acatzingo,5/18,"(13) 10 de mayo 2018. Acatzingo.T res hombres fueron rafagueados y asesinados con armas de grueso calibre por sujetos desconocidos en calles de esta ciudad; uno de ellos perdió la vida en el lugar y dos en el hospital al que fueron trasladados.

Los hechos ocurrieron alrededor de las 13:40 horas de este jueves, sobre la calle 7 Oriente entre 2 Sur y 20 de Noviembre del barrio de Jesús de Alonso, donde vecinos del lugar reportaron detonaciones de arma de fuego y una persona lesionada. efectivos de la Policía Municipal a bordo de la unidad PA-04, quienes al llegar, encontraron un masculino sin vida de aproximadamente 38 años de edad, identificado como Abraham “N”., alias “El tíos”, el cual presentaba varios impactos de arma de fuego de grueso calibre. En el sitio se hallaron varios casquillos percutidos de armas de calibre .223 AR15 y 7.62 cuerno de chivo; asimismo, Cruz Ámbar informó el traslado de dos hombres más a hospitales del lugar, quienes perdieron la vida al ingresar. https://oem.com.mx/elsoldepuebla/policiaca/sangriento-dia-de-las-madres-en-acatzingo-matan-a-tres-puebla-balacera-que-paso-en-acatzingo-13455065?token=-1820885331","Alrededor de las 13:40 hrs, sobre la calle 7 Oriente entre 2 Sur y 20 de Noviembre del barrio de Jesús de Alonso, tres hombres fueron rafagueados con armas de grueso calibre. El que perdió la vida en el lugar se identificó como Abraham, que presentaba varios impactos de arma de fuego de grueso calibre; dos hombres más perdieron la vida al ingresar al hospital. ",2018,10/05/2018,-97.782914,18.9772,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
