CASO,Unnamed: 1,FECHA DEL HALLAZGO,AÑO,MUNUCUPIO,ZONA,Coord_Y,Coord_X,CUERPOS ENCONTRADOS,MODALIDAD DE FOSA,CARACTERÍSTICAS DEL SITIO DE HALLAZGO,QUIÉN HIZO EL HALLAZGO,DESCRIPCIÓN,Unnamed: 13
11.0,,2018-10-16 00:00:00,2019.0,Tlatlauquitepec.,"Privada Francisco BocanegraBarrio de Contla, del municipio de Tlatlauquitepec",19.8335171614557,-97.498266293725,1 hombre,Casa urbana,1 fosa en casa abandonada en zona urbana,Pobladores,"Casa abandonada ubicada sobre la Privada Francisco Bocanegra, entre calle Ocampo y Hermanos Serdán. Al interior se localizaron los restos de un hombre que fue secuestrado el año pasado.",https://www.sinembargo.mx/22-10-2019/3665609
12.0,Ubicación aproximada,2018-11-23 00:00:00,2018.0,Palmar de Bravo,Paraje La Encrucijada,18.8542489631564,-97.4267594931269,1 hombre,,1 fosa,Pobladores,"El cuerpo corresponde a un hombre que fue víctima de secuestro de una banda de Cd. Serdán, detenida en octubre 2018, que era comandada por el exdirector de la policía de Palmar de Bravo. ",
13.0,,2018-12-04 00:00:00,2018.0,Juan C. Bonilla,"En la calle Niños Héroes, esquina Chulavista en la Comunidad de San Mateo Cuanalá",19.1057607019046,-98.3362949633096,2 hombres,Terreno baldío,"2 fosas en un lote baldío, cada una con un cadaver",Pobladores,Los restos humanos corresponden a dos hombres con heridas de bala y de una edad aproximada de 40 años. Probablemente uno de los hombres podría ser originario de Coronango,https://www.periodicocentral.mx/2018/pagina-negra/tragedias/item/27336-localizan-dos-cuerpos-en-una-fosa-de-juan-c-bonilla
14.0,Ubicación aproximada,2019-01-24 00:00:00,2019.0,San José Miahuatlán,"Paraje Chupandillo, San José Miahuatlán. ",18.3259,-97.30299,Al menos 3 hombres,Pozo para riego,Pozo en zona rural,Autoridades,"El 24 de enero de 2019 fueron localizados en un pozo de aproximadamente 50 metros de profundidad, tres cuerpos en una fosa clandestina ubicada en el paraje conocido como “Chupandilla”, en el municipio de San José Miahuatlán. Para llegar al lugar es necesario recorrer un camino vecinal de terracería a más de 20 minutos de la cabecera municipal de San José Miahuatlán
Al lugar acudieron elementos de la Secretaría de la Marina Armada de México y del Ejército Mexicano. Uno de los cuerpos se encontraba embolsado, otro más maniatado y un tercero solamente consistió en restos óseos.  reportan que uno de los cadáveres podría corresponder a José Luis N., un joven que fue secuestrado en el mes de septiembre de 2018 en la comunidad.
Pobladores de la zona comentaron que la fosa existía desde hace varios años, por lo que temían que se encontraran más cuerpos.",https://www.periodicocentral.mx/2019/pagina-negra/delincuencia/item/7768-4-fosas-clandestinas-se-encontraron-en-puebla-en-menos-de-5-meses
15.0,,2019-04-02 00:00:00,2019.0,Puebla,"Autovadado ""Lalos"", calle Juego de Pelota y retorno Esgrima, Inmediaciones del Mercado Morelos.",19.051328,-98.164308,"8 hombres que fueron exhumados y arrojados en jugüey de Chachapa, Amozoc",Terreno baldío,Fosa clandestina en un autolavado,Autoridades,"Las investigaciones arrojaron que victimarios pertenecían a la banda de “El Grillo”, presunto líder narcomenudista que  está preso en Oaxaca.",https://www.elsoldemexico.com.mx/republica/justicia/hallan-fosa-clandestina-en-mercado-jose-maria-morelos-y-pavon-estado-de-puebla-3266184.html
16.0,,2019-06-09 00:00:00,2019.0,Tlachichuca,Sin datos,,,Indefinido,,1 fosa,,,
17.0,,2019-07-17 00:00:00,2019.0,Amozoc,"Casa urbana sobre la calle Jazmines y/o Bugambilias, colonia Las Ánimas","19°02'48""N ","98°03'20""W",1 mujer,Casa urbana,1 fosa dentro de una excavación que se realizó al interior del domicilio,Autoridades,"El cuerpo fue identificado como Mary Cruz Rayón, quien desapareció esta semana en el estado de Guerrero. Se planteó la hipótesis de que su asesinato ocurrió en el contexto de un ritual. Su expareja y otra mujer fueron detenidos",
,,2019-07-15 00:00:00,2019.0,Tecamachalco,Sin datos,,,,,1 fosa,Quinto Elemento Lab,,
18.0,Ubicación aproximada,2019-07-17 00:00:00,2019.0,Tecamachalco,Localidad La purísima de Hidalgo. ,18.917676,-97.611893,1 hombre y 1 mujer,Campo de cultivo,1 fosa en campo de cultivo junto a un camino,Pobladores,Restos encontrados en terreno de cultivo,
19.0,,2019-07-21 00:00:00,2019.0,Huejotzingo,Junta auxiliar de Santa María Tianguistenco,"(Pozo 1)19.179255 
(Pozo 2)19.177662 

   ",(Pozo 1) -98.432095                                                                                     (Pozo 2)  -98.431423,11 hombres,Pozo en vivienda urbana,2 Pozos al interior de viviendas,Fiscalía General del Estado,"El pozo tenía una profundidad de 30 metros. Entre las víctimas estaba Luis Fernando Tinoco Cervantes, delegado de la Secretaría General de Gobierno (SGG) en Huejotzingo y Jorge Ramírez quien sería identificado 4 años después del hallazgo por la negativa de la Fiscalía de realizar pruebas geneticas al cuerpo pese a la solicitud de los familiares. Varios de los cuerpos corresponden a personas que fueron ""levantadas"" en Santa Ana Xalmimilulco por la banda ""Los Chilangos"" de la que se capturaron 17 delincuentes.",https://www.infobae.com/america/mexico/2019/07/25/macabro-hallazgo-nueva-fosa-clandestina-en-puebla-con-al-menos-20-cuerpos/
20.0,Ubicación aproximada,2019-07-20 00:00:00,2019.0,Quecholac,Campos de cultivo de localidad de San Bartolomé Coscomaya,18.9471535697654,-97.6490608159223,1 hombre y 1 mujer,Campo de cultivo,1 fosa en Campos de cultivo,La Voz de los desaparecidos,"Un hombre y una mujer fueron encontrados enterrados en una fosa clandestina en campos de siembra de Quecholac, por unos perros que rascaban el suelo.",
21.0,,2019-08-06 00:00:00,2019.0, Tepeaca,Cementerio Barrio el Campo,18.9741940200473,-97.8854135391676,2 hombres,Cementerio,Panteón Virgen de los Remedios en el Barrio del Campo,Pobladores,"Albañiles que que realizaban la excavación de una fosa al interior del panteón del barrio del Campo , hallaron de manera accidental los que parecían ser restos humanos en avanzado estado de descomposición. Se desconoce el tiempo que tenían de haber sido sepultados clandestinamente y se presumió que pudieran corresponder al múltiple homicidio ocurrido en el barrio de Ecce Homo, municipio de Tepeaca, durante los primeros días del mes de enero de este año.",
22.0,,2019-11-06 00:00:00,2019.0,Palmar de Bravo,Sin datos,,,,,1 fosa,,,
23.0,,2019-11-07 00:00:00,2019.0,San Pedro Cholula,"Calle 16 de Septiembre No. 14, junta auxiliar de San Agustín Calvario, San Pedro Cholula",19.052597,-98.338666,1 mujer de 40 años,Pozo en vivienda,Pozo en patio de vivienda urbana,Autoridades,Su esposo la reportó como desaparecida el 6 de noviembre.,
,,2019-12-09 00:00:00,2019.0,Puebla,Sin datos,,,,,1 fosa,,,
24.0,,2019-12-12 00:00:00,,Francisco Z. Mena (Metlaltoyuca),Sin datos,,,,,1 fosa,,Quinto Elememnto LAB,
25.0,,2020-09-12 00:00:00,2020.0,Tochtepec,Sin datos,,,Restos de una persona,,1 fosa,La Voz de los desaparecidos,,
26.0,Ubicación aproximada,2020-10-29 00:00:00,2022.0,Quecholac,Localidad de Guadalupe Enríquez,18.899609,-97.584434,3 hombres,Pozo para riego,1 fosa en pozo en terreno rural,La Voz de los desaparecidos,"Juan de Dios Nuñez Barojas de 23 años, Abraham Basurto Linares y Vicente Basurto Linares desaparecieron el 28 de abril de 2017 en cuando salió junto a sus amigos Abraham y Vicente, de 26 y 29 años, desde la comunidad de Tehuitzo, en el municipio de Palmar de Bravo, hacia Tecamachalco. Los tres jóvenes desaparecieron tras ser detenidos por lo que Juan de Dios alcanzó a describirle a su mamá en una llamada como un retén en la comunidad de Cuacnopalan, en Palmar de Bravo
",https://www.milenio.com/policia/maria-luisa-nunez-halla-sin-vida-hijo-desaparecido-anos-puebla
27.0,Ubicación aproximada,2020-12-19 00:00:00,2020.0,Atzitzintla,"Paraje ""La mesa"" ",18.5403,97. 1931,Restos de al menos 3 personas,Campo de cultivo,1 fosa en predio rural,Reporte anónimo,"Por la descalcificación de los  huesos, calculan –preliminarmente- que las personas murieron hace tres años, situación que determinaran peritos al igual que el sexo y si son restos de tres o cuatro personas.",
28.0,,2021-01-19 00:00:00,2021.0,Hueytamalco,Población de Lomontitan Chico,19.58.51,97.1542,Al menos 2 hombres y  restos de un número aún no determinado de victimas más,,1 fosa,Pobladores,"Las autoridades la relacionaron con Jalit N., alias “El Mamer”, presunto líder huachicolero que fue arrestado el 28 de enero de ese mismo año por elementos de la Fiscalía General de la República (FGR)",
29.0,Ubicación aproximada,7/052021,2021.0,San Martín Texmelucan,Colonia El Moral. Junta auxiliar de San Juan Tuxco (Sta. Catarina Hueyatzocalco en los límites con San Rafael Tlanalapan,19.275857,-98.440227,2 hombres,Terreno baldío,1 fosa,Víctima,Múltiples restos humanos. Un comerciante fue secuestrado con otros dos compañeros y lesionado con arma blanca en la cabeza. Logró escapar y denunciar la localización de una fosa clandestina,
30.0,,2021-06-17 00:00:00,2021.0,Ahuazotepec,Sin datos,,,,,1 fosa,,,
30.0,Ubicación aproximada,2021-11-09 00:00:00,2021.0,Tecamachalco,"""Barranca Primera"" o Barranquilla, en los límites del barrio San Martín en Huixcolotla y San Mateo Tlaixpan, perteneciente al municipio Tecamachalco en los límites con Huixcolotla",18.916655,-97.759568,2 hombres,Barranca,2 fosas clandestinas en una barranca,Brigada de búsqueda,El 10 de septiembre de 2020 localizaron en el paraje conocido como “La Barranquilla” de San Mateo Tlaixpana dos personas asesinadas,
31.0,Ubicación aproximada,2021-11-18 00:00:00,2021.0,San Salvador Huixcolotla,"Cerca de la colonia La Concepción, en Huixcolotla",18.910028,-97.77141,1 hombre,Terreno baldío,1,Grupo ciudadano de búsqueda,"la fosa tenía poco más de medio y metro de profundidad. El cadáver localizado es el de un hombre en avanzado estado de descomposición, calculan más de un mes de muerto. ",
32.0,,2022-04-25 00:00:00,2022.0,San Salvador Huixcolotla,Pozo en terreno de cultivo de ubicación no referida,Sin datos,Sin datos,2 se desconoce sexo,Pozo para riego,1 en pozo en terreno de cultivo,Pobladores,"Al presentar problemas con el agua de su pozo, un grupo de pobladores en Puebla se disponía a revisar el interior del mismo, donde hallaron dos cuerpos sin vida en avanzado estado de descomposición, provocando movilización de rescatistas y el inicio de investigaciones en la zona.
Personal del Cuerpo de Bomberos sacaron los cadáveres del pozo con profundidad cercana a los 40 metros. El avanzado estado de putrefacción impidió en la primera revisión, determinar si las víctimas eran hombres o mujeres y si tenían alguna herida que reflejara el motivo de su muerte.",https://www.milenio.com/policia/puebla-encuentran-dos-cadaveres-en-un-pozo-en-huixcolotla 
33.0,Ubicación aproximada,2022-05-21 00:00:00,2022.0,Puebla,"Entre campos de cultivo y una barranca de Santa María Xonacatepec, junta auxiliar del municipio de Puebla","19.121348,","

 -98.075154
",1 de sexo indefinido,Campo de cultivo,Pobladores,en la calle Principal (en realidad es un camino de terracería poco transitado) a unos 25 minutos (en carro) del Centro de Xonacatepec,"localizado la tarde de este viernes por campesinos de esa demarcación. Los hombres se percataron que había tierra removida de manera inusual, al acercarse y observar detenidamente notaron que sobresalía un pie humano. ",
34.0,Ubicación aproximada. No es claro que se trate de una fosa clandestina,2022-07-04 00:00:00,2022.0,Izúcar de Matamoros,Río Nexapa. Entre las juntas auxiliares de San Felipe Ayutla con dirección a San Nicolás Tolentino,"18°32'52""N"," 98°30'15""W",1 hombre,,1 fosa,Poblador menor de edad,"Un niño de once años de edad encontró restos humanos en el río Nexapa dentro del municipio de Izúcar de Matamoros, Puebla. En aquella ocasión, se trató de dos brazos amarrados y mutilados; estaban encima de una piedra. El menor atravesaba el río San Felipe Ayutla con dirección a San Nicolás Tolentino.",
35.0,,2022-08-20 00:00:00,2022.0,Tepeaca,Campos de cultivo de la junta auxiliar de San Hipólito Xochiltenango en los límites con Cuapiaxtla de Madero. ,18.944768," -97.867602
",Por lo menos 4 personas,Campo de cultivo,Pobladores,Campos de cultivo,"Los restos fueron encontrados por campesinos. Autoridades de la FGE realizaron excavaciones en diversas partes del lugar y lograron extraer huesos de una persona, sin embargo al realizar la extracción de esos restos óseos se percataron que en el lugar había más esqueletos.",
36.0,Ubicación aproximada,2022-09-09 00:00:00,2022.0,Tehuacán,Predio de Junta Auxiliar de Santa Cruz Acapa. el lugar se encuentra cerca del Arco de seguridad de Altepexi,"18.393565,",-97.314075,3 hombres,Campo de cultivo,Pobladores,Campos de cultivo,"En el sitio se encontró una fosa clandestina en la que fueron enterradas por lo menos tres personas. Además desde hace años un grupo delictivo de Tehuacán la ha usado como bodega de carga robada, así como punto de venta y distribución para narcomenudistas. El predio se identificó por ser propiedad de la familia de un hombre conocido como Maximino Mónico, ya fallecido. A su muerte, dicha propiedad la heredaron sus hijos, Miguel y Martín Mónico García. Los hermanos Mónico García, oriundos de Tehuacán se fueron varios años a los Estados Unidos. A decir de vecinos de la zona, regresaron y se dedicaron a negocios ilícitos, utilizando el predio como el lugar donde distribuían drogas.
Además, las bodegas que se encuentran en el predio se usaron para la descarga de productos robados, al parecer producto del robo de camiones en las carreteras de la región. Versiones relacionan este hallazgo con la captura de dos peligrosos delincuentes la semana pasada.","En el municipio de Tehuacán al menos operan diez bandas delictivas las cuales son responsables por la ola de inseguridad que se vive en esta región. Y que principalmente pelean por el control del narcomenudeo, según admitió Daniel Iván Cruz Luna, el titular de la Secretaría de Seguridad Pública de Puebla."
37.0,Ubicación aproximada,2022-11-10 00:00:00,2022.0,Amozoc,Terrenos de cultivo en la zona de San Andrés Las Vegas,19.067763,-98.041644,1 mujer,Campo de cultivo,Pobladores,Campos de cultivo,"El cuerpo fue identificado como el de Felicitas Luna Reyes, de 39 años de edad, quien estaba reportada como desaparecida desde el pasado 29 de octubre",https://callejero.mx/en-una-fosa-clandestina-hallan-a-mujer-desaparecida-en-amozoc/
38.0,,2023-06-28 00:00:00,2023.0,Puebla,Mercado La Cuchilla en la capital del estado.,19.072129,-98.195477,1 hombre de 29 años y1 mujer de 28,Mercado,1 fosa clandestina en bodegas subterraneas del mercado La Cuchilla en la capital del estado,Autoridades,"Los cuerpos corresponden a de Joselín Carreto Xaltenco y David Baez Aburto, desaparecidos el 1 de junio de 2022, con residencia de Unidad Habitacional San Bartolo, cuando habían acudido al mercado a comprar juguetes. Por la muerte de la pareja desaparecida en La Cuchilla se investiga a Javier Francisco N., apodado “El Caimán”, jefe de la plaza. Además, se encuentran relacionados otros personajes como “El Nito”, “El Ranger”, “El Negro”, “El Jefe Tomás” y “El Aquino”.",
39.0,Ubicación aproximada,2023-09-07 00:00:00,2023.0,Tecali de Herrera,Terrenos de sembradío en la localidad de San Luis Ajajalpan.,"18°56'29""N ","97°55'47""W",2 hombres,Casa urbana,Pobladores,Interior de una casa,"Ese día, un grupo de campesinos escuchó varias detonaciones de arma de fuego que provenían de una casa que se localiza en la zona del cerro entre terrenos de sembradío en la localidad de San Luis Ajajalpan.
Ante los hechos los agricultores acudieron con el dueño del inmueble para avisarle sobre lo ocurrido en su propiedad que era ocupada y rentada por varios sujetos.
El hombre solicitó el apoyo de policías municipales de Tecali de Herrera, quienes junto con el dueño del inmueble acudieron al punto donde ya no encontraron a nadie, pero al avanzar, descubrieron los cuerpos de jóvenes de alrededor de 25 años de edad, quienes estaban semienterrados en una fosa clandestina. Las autoridades sospechan que el lugar está utilizado por un grupo delincuencial que opera en el municipio de Tepeaca",
40.0,Encontrado por La Voz de los Desaparecidos de Puebla,2024-02-02 00:00:00,2024.0,Palmar de Bravo,En las inmediaciones de la junta auxiliar de Cuacnopalan y Cuenta Blanca,18.8264768493582,-97.4912451348329,1 hombre,Campo de cultivo,1 fosa en un predio rural ubicado en la cercanía de la autopista Puebla-Orizaba y Tehuacán-Oaxaca,Familias de personas desaparecidas. La Voz de los desaparecidos. Comisión Estatal de Búsqueda.,"Los restos óseos encontrados al interior de una fosa clandestina en Palmar de Bravo, podrían ser de un migrante desaparecido en 2022, entre los límites de Cañada Morelos y Palmar de Bravo. Debido a trabajos de construcción de una carretera, uno de los cerros en los que se sospechan sitios de hallazgo fue desmontado y alterado con la colocación de montículos de tierra. No fue posible continuar la búsqueda de más restos, ya que una constructora alteró el terreno, lo que dificultó la localización de más material humano.",Encuentran Fosa Clandestina En Palmar De Bravo Puebla | TikTok
41.0,Ubicación aproximada,2024-09-26 00:00:00,2024.0,Chignahuapan,"Comunidad de Nuevo San Claudio Paredón, del municipio de Chignahuapan","19°49'31""N"," 98°14'49""W",2 hombres,Terreno baldío,1 fosa con dos cuerpos,Autoridades,"Uno de los restos pertenece al policía municipal Gonzalo Joaquín Vega García, de 28 años, de Almoloya, Hidalgo, reportado como desaparecido desde el 22 de septiembre. Ambas personas fueron privadas de la libertad en el vecino estado y, aparentemente, asesinadas en el lugar donde fueron enterradas. ",
42.0,,2024-11-16 00:00:00,2024.0,Puebla,"Calle San Antonio No. 8817, entre las calles Miguel Hidalgo y Crisantemo, Colonia San Antonio Abad.",19.064986,-98.142471,2 hombres y 2 mujeres,Casa urbana,1 fosa en patio de vivienda urbana,Autoridades,"Los cuerpos se encontraron en dos fosas distintas dentro del inmueble. Presuntamente, los responsables emplearon maquinaria pesada para excavar y ocultar los restos, mientras que los primeros indicios señalan que las víctimas habrían estado enterradas por varios días antes del descubrimiento. Los reportes preliminares indican que las víctimas presentaban signos de violencia, con sus cuerpos maniatados y amordazados. Vecinos señalaron que el inmueble era habitado por un hombre que rentaba la propiedad. ",
43.0,,22 de abril 2025,2025.0,Santa Rita Tlahuapan,"Paraje Cruz de Pinto Localidad de El Pipirín, en Santa Rita Tlahuapan",19.347547," -98.623500
",3 hombres,,Fosa en terreno boscoso,Pobladores,"Dos de los tres cuerpos hallados semienterrados en una fosa clandestina el pasado 22 de abril en el municipio de Santa Rita Tlahuapan, pertenecen a los hermanos Emmanuel de 37 años y Jeu N de 33 años de edad, quienes fueron reportados como desaparecidos desde el 26 de marzo. Ambos hermanos fueron vistos con vida por última vez en 26 de marzo en Santa Rita Tlahuapan. La tercera victima, también fue identificada",
